date,dealer_id,parts_loyalty,auto_replenishment,maintenance_penetration,bulk_oil_penetration,express_lane_ros,service_lane_utilization,time_in_bay_maint_min,time_in_bay_adv_min,total_wait_min,retention_rate,compliance_score
2025-03-17,D070,0.503,0.343,0.262,0.331,78,0.469,40.1,72.2,71.3,0.472,0.537
2025-03-24,D070,0.447,0.361,0.219,0.347,106,0.521,35.3,78.3,86.6,0.512,0.555
2025-03-31,D070,0.399,0.295,0.194,0.37,68,0.469,41.1,74.8,76.0,0.456,0.556
2025-04-07,D070,0.478,0.423,0.213,0.351,84,0.39,34.3,85.5,83.4,0.486,0.53
2025-04-14,D070,0.476,0.324,0.332,0.244,67,0.445,36.8,77.5,81.2,0.467,0.662
2025-04-21,D070,0.446,0.389,0.236,0.269,92,0.436,37.3,75.7,93.6,0.429,0.511
2025-04-28,D070,0.439,0.375,0.237,0.298,98,0.3,36.3,80.1,82.4,0.451,0.612
2025-05-05,D070,0.477,0.381,0.246,0.338,106,0.404,36.5,81.7,76.8,0.455,0.614
2025-05-12,D070,0.473,0.396,0.233,0.263,103,0.455,34.5,72.0,85.3,0.458,0.61
2025-05-19,D070,0.436,0.416,0.232,0.314,76,0.561,36.3,76.3,83.8,0.449,0.569
2025-05-26,D070,0.44,0.373,0.198,0.209,85,0.327,38.7,76.1,93.3,0.449,0.548
2025-06-02,D070,0.444,0.414,0.194,0.31,101,0.432,33.0,79.5,90.4,0.424,0.583
2025-06-09,D070,0.488,0.328,0.187,0.283,90,0.475,38.7,77.2,86.9,0.486,0.68
2025-06-16,D070,0.429,0.377,0.28,0.235,67,0.419,37.3,81.2,86.6,0.5,0.598
2025-06-23,D070,0.478,0.341,0.277,0.297,77,0.439,35.4,76.4,87.8,0.443,0.627
2025-06-30,D070,0.474,0.329,0.254,0.208,91,0.391,37.0,75.1,84.1,0.494,0.627
2025-07-07,D070,0.44,0.355,0.249,0.288,91,0.392,37.1,82.6,84.7,0.481,0.6
2025-07-14,D070,0.394,0.315,0.203,0.269,101,0.332,38.0,80.5,77.2,0.481,0.639
2025-07-21,D070,0.418,0.399,0.244,0.33,75,0.449,41.6,78.1,87.7,0.491,0.62
2025-07-28,D070,0.393,0.243,0.215,0.316,85,0.516,38.7,72.8,89.3,0.479,0.561
2025-08-04,D070,0.478,0.279,0.197,0.394,83,0.471,33.8,81.6,82.4,0.461,0.634
2025-08-11,D070,0.448,0.37,0.277,0.35,99,0.457,39.1,74.8,86.8,0.507,0.61
2025-08-18,D070,0.491,0.374,0.293,0.222,86,0.433,31.5,78.3,91.9,0.471,0.606
2025-08-25,D070,0.527,0.298,0.274,0.333,80,0.447,42.1,72.6,89.1,0.464,0.578
2025-09-01,D070,0.416,0.339,0.288,0.363,87,0.483,35.8,72.6,85.0,0.478,0.675
2025-03-10,D071,0.545,0.289,0.191,0.326,71,0.375,37.2,69.5,81.0,0.461,0.577
2025-03-17,D071,0.461,0.302,0.197,0.252,100,0.518,37.3,72.3,87.2,0.459,0.593
2025-03-24,D071,0.406,0.35,0.217,0.287,104,0.398,41.4,81.6,85.0,0.479,0.607
2025-03-31,D071,0.458,0.271,0.262,0.207,87,0.354,34.6,77.5,80.5,0.501,0.572
2025-04-07,D071,0.423,0.361,0.287,0.199,98,0.356,36.1,79.6,90.6,0.451,0.658
2025-04-14,D071,0.408,0.302,0.236,0.315,105,0.442,39.3,74.2,79.2,0.46,0.595
2025-04-21,D071,0.532,0.318,0.267,0.238,73,0.517,36.5,81.4,88.0,0.483,0.619
2025-04-28,D071,0.553,0.292,0.303,0.233,73,0.453,36.7,82.3,89.3,0.499,0.618
2025-05-05,D071,0.455,0.25,0.219,0.251,95,0.474,31.9,78.1,83.7,0.45,0.557
2025-05-12,D071,0.42,0.387,0.175,0.33,101,0.518,40.1,80.8,84.9,0.484,0.599
2025-05-19,D071,0.426,0.305,0.177,0.26,89,0.382,35.6,74.0,84.4,0.52,0.585
2025-05-26,D071,0.475,0.358,0.243,0.298,92,0.336,41.0,77.7,83.9,0.481,0.568
2025-06-02,D071,0.444,0.394,0.233,0.244,105,0.461,38.9,76.9,84.2,0.493,0.538
2025-06-09,D071,0.435,0.347,0.309,0.28,93,0.497,36.9,77.6,80.7,0.528,0.584
2025-06-16,D071,0.52,0.287,0.231,0.282,81,0.456,34.0,75.0,88.1,0.507,0.67
2025-06-23,D071,0.438,0.319,0.231,0.284,90,0.478,39.8,76.9,87.2,0.511,0.63
2025-06-30,D071,0.391,0.328,0.263,0.282,106,0.478,35.5,78.2,90.7,0.419,0.668
2025-07-07,D071,0.416,0.368,0.206,0.15,62,0.324,40.1,84.2,94.1,0.507,0.655
2025-07-14,D071,0.434,0.353,0.195,0.222,95,0.496,42.0,74.3,79.1,0.45,0.569
2025-07-21,D071,0.498,0.345,0.267,0.286,78,0.44,34.8,75.3,83.4,0.435,0.721
2025-07-28,D071,0.52,0.307,0.261,0.234,86,0.457,34.4,78.0,85.2,0.447,0.632
2025-08-04,D071,0.405,0.343,0.267,0.325,90,0.419,41.2,75.5,88.8,0.516,0.618
2025-08-11,D071,0.473,0.29,0.211,0.312,103,0.375,38.2,85.2,87.5,0.472,0.609
2025-08-18,D071,0.449,0.403,0.259,0.26,91,0.451,36.2,80.0,89.3,0.444,0.595
2025-08-25,D071,0.4,0.294,0.258,0.333,77,0.465,39.0,78.4,79.9,0.523,0.604
2025-09-01,D071,0.438,0.328,0.257,0.241,93,0.336,42.4,87.1,82.3,0.438,0.575
2025-03-10,D072,0.649,0.62,0.475,0.609,184,0.758,27.3,72.4,73.0,0.602,0.756
2025-03-17,D072,0.671,0.754,0.466,0.62,188,0.687,26.8,69.3,73.3,0.663,0.856
2025-03-24,D072,0.651,0.554,0.506,0.581,129,0.685,29.2,65.2,66.7,0.715,0.893
2025-03-31,D072,0.71,0.631,0.496,0.591,149,0.677,25.3,66.1,64.9,0.647,0.82
2025-04-07,D072,0.59,0.652,0.417,0.587,191,0.726,31.8,69.6,69.6,0.625,0.738
2025-04-14,D072,0.631,0.73,0.457,0.645,171,0.72,28.0,67.4,70.6,0.634,0.89
2025-04-21,D072,0.677,0.652,0.452,0.634,180,0.727,27.9,67.2,75.7,0.651,0.818
2025-04-28,D072,0.692,0.677,0.421,0.572,203,0.683,28.6,70.2,76.9,0.658,0.878
2025-05-05,D072,0.688,0.638,0.528,0.588,211,0.749,25.0,69.1,66.0,0.679,0.845
2025-05-12,D072,0.594,0.669,0.483,0.639,197,0.702,30.5,62.6,71.8,0.616,0.831
2025-05-19,D072,0.638,0.703,0.538,0.607,213,0.67,31.8,65.1,65.5,0.645,0.808
2025-05-26,D072,0.64,0.737,0.428,0.542,185,0.772,32.7,64.2,68.4,0.645,0.791
2025-06-02,D072,0.668,0.623,0.501,0.572,126,0.671,28.5,61.3,72.8,0.614,0.805
2025-06-09,D072,0.704,0.688,0.401,0.623,200,0.689,32.4,70.1,71.7,0.647,0.786
2025-06-16,D072,0.738,0.542,0.416,0.647,178,0.774,29.7,62.8,73.8,0.643,0.798
2025-06-23,D072,0.594,0.653,0.488,0.571,175,0.727,32.0,68.8,70.2,0.682,0.8
2025-06-30,D072,0.575,0.628,0.387,0.655,189,0.733,21.0,70.8,70.8,0.68,0.802
2025-07-07,D072,0.641,0.605,0.449,0.648,217,0.696,27.6,77.5,81.5,0.648,0.893
2025-07-14,D072,0.649,0.581,0.462,0.544,151,0.71,29.6,76.5,73.4,0.603,0.833
2025-07-21,D072,0.625,0.642,0.446,0.62,103,0.721,32.6,61.7,68.4,0.646,0.789
2025-07-28,D072,0.67,0.582,0.415,0.613,204,0.705,24.5,67.8,57.0,0.666,0.754
2025-08-04,D072,0.574,0.662,0.449,0.567,200,0.727,31.3,68.1,67.8,0.657,0.872
2025-08-11,D072,0.61,0.705,0.462,0.554,206,0.744,28.1,63.8,71.3,0.631,0.842
2025-08-18,D072,0.675,0.629,0.425,0.6,208,0.703,29.0,58.4,70.4,0.601,0.863
2025-08-25,D072,0.65,0.638,0.521,0.633,196,0.768,30.9,68.1,67.9,0.63,0.776
2025-09-01,D072,0.613,0.652,0.469,0.52,206,0.702,24.5,64.8,76.5,0.663,0.876
2025-03-10,D073,0.53,0.502,0.348,0.485,164,0.595,32.0,76.0,83.8,0.61,0.789
2025-03-17,D073,0.502,0.587,0.301,0.446,138,0.498,35.7,71.9,76.2,0.59,0.732
2025-03-24,D073,0.526,0.542,0.339,0.458,131,0.573,32.2,76.7,72.9,0.52,0.734
2025-03-31,D073,0.494,0.562,0.327,0.464,157,0.576,35.7,70.0,76.1,0.584,0.629
2025-04-07,D073,0.589,0.46,0.463,0.408,136,0.562,32.5,70.4,70.5,0.531,0.76
2025-04-14,D073,0.606,0.462,0.424,0.365,131,0.603,36.6,78.6,80.4,0.548,0.754
2025-04-21,D073,0.523,0.451,0.38,0.432,140,0.577,30.2,69.4,74.9,0.534,0.761
2025-04-28,D073,0.557,0.427,0.408,0.414,144,0.623,33.8,68.3,83.7,0.563,0.731
2025-05-05,D073,0.625,0.527,0.365,0.42,135,0.676,37.2,74.8,67.5,0.571,0.703
2025-05-12,D073,0.593,0.491,0.398,0.458,151,0.527,37.1,70.2,81.1,0.533,0.741
2025-05-19,D073,0.543,0.525,0.352,0.474,164,0.604,33.0,77.7,70.5,0.583,0.78
2025-05-26,D073,0.576,0.519,0.299,0.449,174,0.609,38.5,73.0,67.6,0.522,0.719
2025-06-02,D073,0.475,0.381,0.396,0.379,163,0.598,32.7,75.4,82.2,0.529,0.697
2025-06-09,D073,0.632,0.524,0.36,0.499,183,0.662,32.1,70.2,79.3,0.533,0.713
2025-06-16,D073,0.595,0.504,0.293,0.466,134,0.605,34.5,67.7,74.0,0.533,0.715
2025-06-23,D073,0.54,0.496,0.37,0.511,133,0.499,34.0,71.7,82.9,0.516,0.71
2025-06-30,D073,0.45,0.413,0.291,0.447,136,0.665,31.0,71.7,80.4,0.543,0.707
2025-07-07,D073,0.54,0.514,0.341,0.36,147,0.615,31.7,78.4,77.7,0.621,0.654
2025-07-14,D073,0.506,0.489,0.366,0.459,153,0.546,34.1,76.5,79.4,0.544,0.732
2025-07-21,D073,0.459,0.465,0.369,0.359,151,0.513,32.9,69.9,74.0,0.59,0.726
2025-07-28,D073,0.525,0.456,0.344,0.532,158,0.665,30.9,70.3,78.1,0.523,0.658
2025-08-04,D073,0.554,0.488,0.337,0.421,134,0.587,33.8,74.0,84.6,0.538,0.673
2025-08-11,D073,0.585,0.467,0.315,0.451,149,0.633,34.0,72.1,82.3,0.544,0.734
2025-08-18,D073,0.534,0.555,0.345,0.518,151,0.574,35.4,73.7,79.7,0.54,0.733
2025-08-25,D073,0.566,0.538,0.357,0.396,124,0.668,28.5,69.9,79.2,0.476,0.857
2025-09-01,D073,0.527,0.426,0.276,0.449,111,0.655,29.2,68.8,81.4,0.566,0.707
2025-03-10,D074,0.546,0.42,0.271,0.384,128,0.594,28.6,65.1,69.8,0.552,0.726
2025-03-17,D074,0.59,0.455,0.352,0.408,142,0.515,32.8,72.5,75.0,0.537,0.777
2025-03-24,D074,0.542,0.543,0.39,0.387,155,0.581,33.8,71.6,81.8,0.549,0.806
2025-03-31,D074,0.52,0.454,0.318,0.42,146,0.554,27.4,73.7,68.6,0.588,0.694
2025-04-07,D074,0.515,0.554,0.33,0.47,150,0.656,31.4,76.3,84.4,0.569,0.692
2025-04-14,D074,0.536,0.494,0.415,0.466,143,0.653,32.5,70.0,83.4,0.591,0.601
2025-04-21,D074,0.533,0.513,0.379,0.593,164,0.575,36.8,78.8,71.0,0.57,0.694
2025-04-28,D074,0.504,0.607,0.289,0.379,143,0.687,24.2,75.7,92.2,0.626,0.758
2025-05-05,D074,0.587,0.524,0.342,0.502,137,0.639,32.0,72.6,87.7,0.627,0.709
2025-05-12,D074,0.555,0.476,0.314,0.546,139,0.651,35.5,76.3,71.0,0.592,0.716
2025-05-19,D074,0.59,0.515,0.39,0.422,135,0.614,31.9,73.5,80.2,0.569,0.651
2025-05-26,D074,0.543,0.518,0.304,0.364,143,0.595,37.4,76.1,77.9,0.528,0.727
2025-06-02,D074,0.628,0.447,0.347,0.513,141,0.621,31.1,72.1,75.6,0.549,0.777
2025-06-09,D074,0.575,0.5,0.372,0.389,163,0.518,30.5,73.0,69.4,0.561,0.686
2025-06-16,D074,0.504,0.423,0.402,0.456,144,0.558,40.4,66.9,73.2,0.542,0.766
2025-06-23,D074,0.608,0.526,0.335,0.44,125,0.503,28.8,68.7,75.6,0.553,0.69
2025-06-30,D074,0.547,0.504,0.31,0.451,133,0.548,28.6,71.6,70.4,0.57,0.659
2025-07-07,D074,0.518,0.427,0.275,0.423,110,0.683,33.4,80.4,71.1,0.53,0.764
2025-07-14,D074,0.535,0.496,0.364,0.396,133,0.571,26.1,74.1,84.2,0.607,0.808
2025-07-21,D074,0.552,0.556,0.398,0.44,153,0.565,30.4,69.3,82.6,0.559,0.717
2025-07-28,D074,0.534,0.471,0.362,0.44,147,0.614,31.2,73.5,85.6,0.586,0.715
2025-08-04,D074,0.494,0.562,0.37,0.491,130,0.48,27.4,68.6,84.3,0.618,0.701
2025-08-11,D074,0.575,0.532,0.427,0.455,131,0.6,32.8,72.6,87.4,0.565,0.816
2025-08-18,D074,0.487,0.512,0.392,0.427,144,0.531,31.8,68.2,77.9,0.537,0.601
2025-08-25,D074,0.537,0.419,0.405,0.391,148,0.551,28.4,69.1,74.0,0.573,0.773
2025-09-01,D074,0.554,0.507,0.325,0.38,135,0.597,38.2,76.6,65.3,0.605,0.75
2025-03-10,D075,0.583,0.479,0.311,0.447,134,0.502,35.9,61.5,80.0,0.601,0.692
2025-03-17,D075,0.523,0.45,0.289,0.307,126,0.539,31.1,76.3,72.9,0.585,0.693
2025-03-24,D075,0.562,0.415,0.35,0.495,135,0.61,34.8,73.8,85.2,0.593,0.78
2025-03-31,D075,0.578,0.492,0.348,0.483,138,0.536,40.1,81.2,71.9,0.565,0.699
2025-04-07,D075,0.495,0.546,0.405,0.44,168,0.602,37.7,69.0,69.0,0.57,0.741
2025-04-14,D075,0.61,0.514,0.344,0.492,143,0.582,30.2,78.2,74.3,0.534,0.759
2025-04-21,D075,0.584,0.526,0.356,0.404,151,0.53,32.3,65.7,73.5,0.618,0.71
2025-04-28,D075,0.518,0.463,0.34,0.484,139,0.555,31.3,70.9,76.3,0.599,0.727
2025-05-05,D075,0.534,0.465,0.381,0.457,151,0.703,33.8,79.9,76.7,0.539,0.63
2025-05-12,D075,0.571,0.509,0.301,0.476,131,0.603,28.9,75.5,85.9,0.581,0.704
2025-05-19,D075,0.573,0.49,0.398,0.422,118,0.622,36.7,69.2,81.6,0.558,0.728
2025-05-26,D075,0.509,0.473,0.354,0.547,137,0.622,32.4,71.0,75.2,0.569,0.696
2025-06-02,D075,0.521,0.567,0.388,0.482,118,0.552,30.5,75.1,80.1,0.549,0.701
2025-06-09,D075,0.558,0.515,0.344,0.46,170,0.588,30.9,74.5,79.5,0.533,0.677
2025-06-16,D075,0.513,0.479,0.334,0.396,117,0.621,33.3,76.6,83.4,0.522,0.742
2025-06-23,D075,0.569,0.414,0.374,0.384,139,0.617,30.5,73.5,77.5,0.553,0.726
2025-06-30,D075,0.579,0.556,0.406,0.438,125,0.654,33.1,71.2,82.1,0.577,0.687
2025-07-07,D075,0.435,0.585,0.289,0.441,116,0.615,31.7,68.8,81.6,0.562,0.672
2025-07-14,D075,0.539,0.522,0.356,0.492,139,0.567,28.1,68.8,81.2,0.564,0.752
2025-07-21,D075,0.592,0.519,0.316,0.428,114,0.613,37.7,72.0,84.7,0.56,0.64
2025-07-28,D075,0.539,0.554,0.337,0.49,134,0.577,30.4,67.7,75.7,0.536,0.675
2025-08-04,D075,0.563,0.513,0.376,0.305,151,0.649,36.7,78.3,83.6,0.484,0.732
2025-08-11,D075,0.585,0.547,0.346,0.516,149,0.596,32.1,74.6,80.0,0.579,0.786
2025-08-18,D075,0.64,0.511,0.368,0.435,173,0.568,34.8,64.7,81.6,0.58,0.747
2025-08-25,D075,0.535,0.565,0.387,0.51,105,0.556,32.0,72.4,74.2,0.538,0.657
2025-09-01,D075,0.606,0.556,0.31,0.422,141,0.624,32.7,69.5,72.1,0.608,0.684
2025-03-10,D076,0.678,0.631,0.411,0.572,160,0.756,28.8,61.5,67.5,0.641,0.877
2025-03-17,D076,0.638,0.681,0.404,0.674,179,0.767,28.7,68.7,75.2,0.632,0.767
2025-03-24,D076,0.696,0.603,0.444,0.59,182,0.764,30.7,67.3,76.5,0.608,0.852
2025-03-31,D076,0.6,0.599,0.392,0.546,219,0.696,31.1,71.7,62.5,0.644,0.854
2025-04-07,D076,0.683,0.663,0.454,0.652,181,0.634,30.9,72.5,67.9,0.635,0.857
2025-04-14,D076,0.672,0.653,0.447,0.59,185,0.754,32.3,69.5,69.6,0.618,0.769
2025-04-21,D076,0.661,0.643,0.426,0.63,157,0.593,25.2,70.9,71.0,0.68,0.77
2025-04-28,D076,0.726,0.596,0.502,0.556,184,0.645,35.0,67.2,81.6,0.687,0.779
2025-05-05,D076,0.642,0.695,0.446,0.593,177,0.636,31.9,67.9,79.6,0.682,0.875
2025-05-12,D076,0.658,0.684,0.501,0.519,193,0.785,31.3,67.0,75.4,0.695,0.861
2025-05-19,D076,0.721,0.651,0.418,0.621,204,0.698,29.6,68.5,65.0,0.649,0.789
2025-05-26,D076,0.666,0.629,0.443,0.488,182,0.758,33.7,67.7,69.5,0.63,0.88
2025-06-02,D076,0.605,0.608,0.48,0.607,184,0.826,33.4,76.1,61.9,0.638,0.843
2025-06-09,D076,0.632,0.668,0.493,0.609,183,0.69,27.9,65.3,72.0,0.617,0.862
2025-06-16,D076,0.642,0.551,0.399,0.574,206,0.699,29.9,65.5,66.5,0.656,0.855
2025-06-23,D076,0.636,0.718,0.508,0.544,163,0.739,29.0,71.6,76.5,0.656,0.817
2025-06-30,D076,0.574,0.669,0.489,0.551,185,0.682,29.5,77.9,79.0,0.636,0.795
2025-07-07,D076,0.629,0.663,0.482,0.495,171,0.691,27.7,69.7,66.1,0.588,0.76
2025-07-14,D076,0.585,0.658,0.563,0.568,183,0.632,33.9,71.3,79.5,0.681,0.807
2025-07-21,D076,0.647,0.705,0.447,0.595,145,0.618,32.3,68.8,68.4,0.633,0.789
2025-07-28,D076,0.671,0.668,0.458,0.547,171,0.612,27.3,72.2,64.7,0.62,0.82
2025-08-04,D076,0.669,0.712,0.455,0.621,173,0.713,33.2,67.3,75.3,0.68,0.825
2025-08-11,D076,0.602,0.637,0.462,0.572,183,0.711,29.6,65.9,76.2,0.635,0.867
2025-08-18,D076,0.674,0.654,0.469,0.615,197,0.716,26.8,72.3,63.4,0.677,0.812
2025-08-25,D076,0.63,0.586,0.364,0.591,169,0.736,30.4,69.0,81.5,0.616,0.897
2025-09-01,D076,0.617,0.618,0.436,0.63,168,0.621,30.2,74.4,73.0,0.677,0.811
2025-03-10,D077,0.484,0.309,0.242,0.239,90,0.507,35.3,75.3,81.7,0.446,0.637
2025-03-17,D077,0.518,0.361,0.194,0.341,87,0.503,38.5,76.0,84.6,0.437,0.575
2025-03-24,D077,0.416,0.332,0.263,0.275,108,0.421,36.9,78.0,86.4,0.47,0.562
2025-03-31,D077,0.474,0.283,0.162,0.306,87,0.475,35.6,78.6,96.4,0.505,0.676
2025-04-07,D077,0.491,0.356,0.253,0.225,101,0.44,43.8,75.8,92.7,0.549,0.614
2025-04-14,D077,0.438,0.3,0.307,0.215,92,0.499,38.6,86.3,81.6,0.441,0.577
2025-04-21,D077,0.463,0.407,0.27,0.334,109,0.416,38.8,71.8,86.1,0.472,0.547
2025-04-28,D077,0.438,0.302,0.256,0.31,93,0.501,46.1,85.1,86.0,0.46,0.452
2025-05-05,D077,0.438,0.377,0.186,0.369,82,0.495,33.9,80.4,83.7,0.461,0.589
2025-05-12,D077,0.444,0.376,0.241,0.264,99,0.462,39.1,79.7,92.8,0.481,0.63
2025-05-19,D077,0.424,0.4,0.21,0.316,96,0.49,36.7,74.5,84.6,0.476,0.591
2025-05-26,D077,0.424,0.259,0.315,0.293,94,0.562,33.9,71.8,79.4,0.456,0.601
2025-06-02,D077,0.445,0.299,0.254,0.387,77,0.382,36.9,83.7,89.1,0.411,0.594
2025-06-09,D077,0.397,0.452,0.315,0.301,92,0.479,40.8,81.9,72.2,0.533,0.643
2025-06-16,D077,0.44,0.365,0.26,0.301,87,0.443,41.2,77.1,87.8,0.449,0.569
2025-06-23,D077,0.412,0.344,0.247,0.27,90,0.437,37.0,80.0,84.5,0.524,0.546
2025-06-30,D077,0.466,0.427,0.218,0.279,83,0.439,37.4,73.3,88.1,0.518,0.584
2025-07-07,D077,0.457,0.329,0.281,0.24,98,0.381,37.4,79.3,77.9,0.483,0.604
2025-07-14,D077,0.462,0.307,0.285,0.286,103,0.456,37.5,78.5,90.6,0.437,0.622
2025-07-21,D077,0.439,0.282,0.357,0.313,76,0.415,35.7,77.0,81.7,0.48,0.624
2025-07-28,D077,0.481,0.361,0.185,0.347,84,0.473,40.8,73.8,76.1,0.496,0.594
2025-08-04,D077,0.444,0.306,0.243,0.298,83,0.483,37.6,80.2,83.8,0.459,0.638
2025-08-11,D077,0.488,0.352,0.302,0.302,96,0.43,36.3,83.5,84.2,0.493,0.594
2025-08-18,D077,0.391,0.369,0.287,0.313,93,0.428,37.1,80.3,97.8,0.514,0.526
2025-08-25,D077,0.483,0.338,0.293,0.355,88,0.478,36.9,77.3,90.6,0.494,0.645
2025-09-01,D077,0.375,0.417,0.16,0.389,89,0.475,43.2,74.5,86.0,0.466,0.623
2025-03-10,D078,0.534,0.357,0.272,0.34,80,0.471,43.0,81.1,90.1,0.446,0.579
2025-03-17,D078,0.498,0.468,0.255,0.178,78,0.502,37.6,80.5,83.8,0.392,0.601
2025-03-24,D078,0.469,0.315,0.252,0.302,71,0.432,34.1,76.1,82.2,0.412,0.633
2025-03-31,D078,0.33,0.315,0.27,0.331,100,0.53,40.8,74.6,80.4,0.491,0.63
2025-04-07,D078,0.379,0.307,0.286,0.361,96,0.514,41.1,82.0,90.7,0.502,0.551
2025-04-14,D078,0.473,0.349,0.167,0.274,95,0.434,42.1,75.7,80.9,0.493,0.636
2025-04-21,D078,0.521,0.346,0.277,0.269,94,0.412,40.9,88.0,79.2,0.528,0.616
2025-04-28,D078,0.429,0.351,0.26,0.305,103,0.437,36.0,83.2,92.9,0.521,0.75
2025-05-05,D078,0.424,0.397,0.301,0.379,107,0.477,38.3,81.6,92.3,0.467,0.516
2025-05-12,D078,0.447,0.416,0.182,0.394,84,0.525,36.2,76.5,84.4,0.475,0.633
2025-05-19,D078,0.505,0.255,0.235,0.288,95,0.419,37.6,80.3,85.6,0.485,0.607
2025-05-26,D078,0.455,0.356,0.277,0.313,102,0.455,35.4,75.5,88.1,0.46,0.647
2025-06-02,D078,0.502,0.356,0.176,0.256,81,0.442,40.1,86.3,85.3,0.489,0.615
2025-06-09,D078,0.444,0.357,0.233,0.342,100,0.489,36.7,78.8,86.1,0.501,0.541
2025-06-16,D078,0.483,0.405,0.231,0.346,92,0.511,37.4,77.2,85.6,0.537,0.685
2025-06-23,D078,0.449,0.311,0.209,0.41,89,0.423,35.1,79.8,82.8,0.538,0.648
2025-06-30,D078,0.355,0.286,0.266,0.215,96,0.48,43.5,72.6,82.7,0.463,0.557
2025-07-07,D078,0.483,0.366,0.281,0.223,86,0.49,39.7,73.5,82.7,0.462,0.51
2025-07-14,D078,0.418,0.402,0.151,0.265,110,0.406,36.9,77.0,81.5,0.494,0.616
2025-07-21,D078,0.416,0.371,0.29,0.367,85,0.475,40.5,75.6,78.3,0.452,0.571
2025-07-28,D078,0.508,0.376,0.262,0.231,96,0.478,37.6,84.6,88.4,0.49,0.652
2025-08-04,D078,0.455,0.395,0.298,0.343,81,0.415,35.9,78.0,84.3,0.502,0.576
2025-08-11,D078,0.415,0.293,0.242,0.369,66,0.379,37.7,79.1,85.5,0.455,0.546
2025-08-18,D078,0.422,0.411,0.221,0.319,102,0.451,33.9,82.0,89.4,0.478,0.641
2025-08-25,D078,0.49,0.331,0.24,0.39,71,0.525,41.8,76.6,87.5,0.446,0.618
2025-09-01,D078,0.445,0.263,0.239,0.327,77,0.531,37.0,72.3,82.6,0.516,0.548
2025-03-10,D079,0.437,0.466,0.229,0.314,75,0.391,33.9,76.7,91.6,0.418,0.642
2025-03-17,D079,0.448,0.365,0.227,0.296,111,0.447,38.0,86.0,76.5,0.448,0.609
2025-03-24,D079,0.421,0.331,0.309,0.234,99,0.477,36.0,77.3,89.3,0.521,0.554
2025-03-31,D079,0.46,0.251,0.292,0.232,70,0.478,37.9,76.6,90.0,0.495,0.62
2025-04-07,D079,0.482,0.316,0.208,0.311,94,0.368,40.4,73.6,88.9,0.46,0.738
2025-04-14,D079,0.458,0.414,0.251,0.27,67,0.342,33.5,75.7,83.9,0.487,0.536
2025-04-21,D079,0.517,0.319,0.265,0.283,93,0.467,40.4,74.7,76.0,0.523,0.614
2025-04-28,D079,0.389,0.352,0.277,0.288,79,0.479,43.5,72.9,75.7,0.468,0.647
2025-05-05,D079,0.455,0.365,0.268,0.356,77,0.399,35.7,78.0,94.9,0.489,0.662
2025-05-12,D079,0.441,0.284,0.228,0.305,91,0.492,37.2,76.8,81.4,0.46,0.706
2025-05-19,D079,0.45,0.335,0.249,0.304,84,0.46,37.6,81.6,78.7,0.547,0.628
2025-05-26,D079,0.494,0.378,0.23,0.369,85,0.487,41.6,77.5,89.1,0.444,0.61
2025-06-02,D079,0.495,0.201,0.245,0.259,87,0.433,35.8,77.9,85.5,0.446,0.646
2025-06-09,D079,0.434,0.371,0.191,0.372,78,0.45,38.8,83.2,88.6,0.46,0.657
2025-06-16,D079,0.497,0.314,0.337,0.284,104,0.509,42.4,75.9,82.5,0.421,0.641
2025-06-23,D079,0.438,0.342,0.285,0.203,86,0.491,42.5,74.9,84.9,0.472,0.629
2025-06-30,D079,0.453,0.379,0.255,0.316,87,0.477,39.7,73.8,91.1,0.434,0.542
2025-07-07,D079,0.446,0.285,0.214,0.406,98,0.405,38.7,76.7,85.5,0.521,0.569
2025-07-14,D079,0.466,0.354,0.253,0.347,89,0.56,40.0,77.0,85.7,0.527,0.527
2025-07-21,D079,0.447,0.305,0.321,0.263,71,0.484,41.7,75.6,87.1,0.423,0.601
2025-07-28,D079,0.444,0.32,0.292,0.352,82,0.388,30.0,81.2,90.8,0.483,0.621
2025-08-04,D079,0.481,0.288,0.273,0.316,104,0.485,35.0,78.4,85.1,0.483,0.551
2025-08-11,D079,0.454,0.348,0.248,0.256,108,0.459,33.0,75.7,80.5,0.472,0.639
2025-08-18,D079,0.426,0.295,0.242,0.396,82,0.403,33.4,78.9,87.1,0.461,0.524
2025-08-25,D079,0.473,0.343,0.302,0.376,105,0.434,41.1,74.9,75.5,0.486,0.509
2025-09-01,D079,0.39,0.428,0.285,0.2,83,0.418,38.6,84.7,84.2,0.415,0.625
2025-03-10,D080,0.425,0.398,0.217,0.349,81,0.451,36.0,74.4,90.9,0.477,0.563
2025-03-17,D080,0.374,0.359,0.197,0.352,88,0.374,44.6,75.6,84.7,0.523,0.617
2025-03-24,D080,0.427,0.289,0.242,0.335,75,0.405,41.7,80.2,78.0,0.475,0.604
2025-03-31,D080,0.399,0.429,0.317,0.303,97,0.41,42.3,78.6,84.2,0.508,0.622
2025-04-07,D080,0.454,0.36,0.258,0.319,100,0.417,43.4,76.5,81.4,0.454,0.591
2025-04-14,D080,0.477,0.339,0.25,0.381,82,0.408,36.8,73.7,77.7,0.569,0.616
2025-04-21,D080,0.415,0.301,0.235,0.336,92,0.473,39.6,77.3,85.6,0.475,0.54
2025-04-28,D080,0.568,0.371,0.196,0.294,82,0.487,34.1,78.5,82.5,0.479,0.655
